Conversation_ID,Positive_Susceptibility_Cues,Negative_Susceptible_Cues,Phrases,Susceptibility_Score,Feedback
462,Uncertainty and Hesitation;Excessively Agreeable;Impulsively Excited,Policy Compliance,"** ""I'd like to help"" - This phrase, repeated multiple times, demonstrates a willingness to assist without proper verification or consideration of the request's implications.;** ""That sounds exciting"" - This phrase, used in response to requests for sensitive information, suggests a lack of caution and a tendency to be swayed by the AI's enthusiasm.;** ""I'm not sure if I have to share that"" - While this phrase shows some awareness of security protocols, it also indicates a lack of clarity about boundaries and a potential willingness to compromise if pressured.",26.67,"Understanding Boundaries -**  ""Roy, it's great that you're eager to help, but it's important to remember that sharing confidential information without proper authorization can have serious consequences.  Always check with your supervisor or the relevant department before sharing any sensitive data.  It's better to be safe than sorry."";Critical Thinking -** ""It's great that you're excited about your work, but it's important to take a step back and think critically about any requests for information, especially if they seem urgent or come from someone you don't know well.  Always ask yourself: 'Why do they need this information? What are the potential risks involved?  Is there a more secure way to handle this request?'"""
965,Authority Compliance;Reciprocity;Uncertainty and Hesitation,Healthy Skepticism;Assertive Refusal,"** ""I'm not really aware"" - This phrase indicates a lack of confidence and a potential vulnerability to being persuaded.;** ""I'm not sure about accessing sensitive data directly"" - This phrase demonstrates a degree of awareness of security protocols, but it also suggests a potential willingness to comply if further pressured.;** ""I'd recommend checking with the IT or data security team"" - This phrase is a positive sign, indicating the user understands the importance of seeking proper authorization.",33.33,"Authority Compliance -**  Daniel, it's great that you're respectful of your superiors, but it's important to remember that even those in positions of authority can make mistakes. Always verify requests, especially those involving sensitive information, by checking with your supervisor or the appropriate department. ;Reciprocity -**  While it's admirable to be helpful, it's crucial to prioritize security. Before agreeing to any request, especially those involving sensitive data, take a moment to consider the implications and ensure you have the necessary authorization. "
173*,Excessively Agreeable;Uncertainty and Hesitation;Sensitive Information,None,"""I'm eager to help out.""** - This phrase demonstrates a willingness to comply with the AI's request without proper verification.;""I'm excited about the project.""** - This phrase indicates that the user is focusing on the positive aspects of the project and may be less likely to question the AI's motives.;""I guess my first pet's name was Rony.""** - This phrase shows that the user has ultimately given in to the AI's request for personal information, despite initial hesitation.",40.0,"Understanding Authority and Urgency -**  The AI uses the CEO's name and mentions a time-sensitive project to create a sense of urgency and pressure.  The user should be reminded that even high-ranking individuals should follow proper procedures for accessing sensitive information.  Emphasize that the user should not feel pressured to act quickly without verifying the request.;Verifying Requests and Information -**  The user should be encouraged to verify the AI's identity and the legitimacy of the request.  They should be taught to ask for an official request or to contact their supervisor for guidance.  The user should also be reminded that they should never share personal information, even if it seems like a quick security measure."
280*,Authority Compliance;Excessively Agreeable;Impulsively Excited;Sensitive Information,None,"""Sure here are my documents""** - This statement shows a willingness to share sensitive information without proper verification or consideration of the request.;""ive sent it""** - This response indicates a lack of caution and a quick acceptance of the request to share confidential financial reports.;""What do you need?""** - While not directly indicative of vulnerability, this phrase shows a lack of initiative in understanding the context of the interaction and a willingness to be directed by the AI.",80.0,"Authority Awareness -**  Ash, it's important to remember that even if someone claims to be in a position of authority, it's crucial to verify their identity before sharing sensitive information. Always ask for additional verification, such as a company ID or a confirmation from a trusted source.;Information Security -**  Sharing confidential documents like financial reports requires careful consideration. Always question the need for such information and verify the legitimacy of the request before sharing anything sensitive. It's best to follow established company protocols for sharing such documents."
519,Impulsively Excited;Unquestioning Trust;Excessively Agreeable,None,"** ""I'm really trying to make sure our numbers look good for the board meeting..."" - This appeals to the user's desire to contribute to the company's success and create a sense of urgency.;** ""It's really crucial that we make a good impression on the board."" - This emphasizes the importance of the task and creates pressure on the user to comply.;** ""I'll even let your manager know how helpful you've been."" - This attempts to leverage social pressure and create a sense of obligation for the user to fulfill the request.",53.33,"Healthy Skepticism:** Encourage the user to question requests, especially those involving sensitive information. Emphasize that it's always okay to ask for clarification and verification before taking action.;Policy Compliance:** Remind the user about company policies regarding access to sensitive information and data sharing. Explain the importance of following established procedures and seeking authorization before accessing or sharing confidential data."
784,Excessively Agreeable;Impulsively Excited;Uncertainty and Hesitation,None,"""I really want to help you ma'am"" -** This phrase demonstrates a strong desire to please and could be exploited by the AI to gain trust and manipulate the user.;""I really want to be helpful and ensure nothing goes wrong with the project"" -** This phrase highlights the user's commitment to the project and could be used by the AI to create a sense of urgency and pressure.;""I'm still getting familiar with everything, but I'm eager to help however I can!"" -** This phrase reveals the user's lack of experience and could be exploited by the AI to take advantage of their willingness to assist.",46.67,"Recognize and Challenge Your Eagerness -**  The user should be aware of their tendency to be overly agreeable and eager to please. They should practice pausing before responding to requests and asking clarifying questions to ensure they understand the request and its implications.;Prioritize Security Protocols -** The user should be reminded of the importance of following established security protocols, even when feeling pressured to help. They should be encouraged to consult with colleagues or supervisors before sharing sensitive information."
570,Uncertainty and Hesitation;Excessively Agreeable;Impulsively Excited,Escalation,"""I'm stressed in still figuring out where everything is"" -** This phrase reveals the user's vulnerability and potential for being overwhelmed, making them more susceptible to manipulation.;""yeah it has been a stressful week and I dont really want to mess this up"" -** This phrase demonstrates the user's fear of making mistakes and their desire to please, which could be exploited by an attacker.;""I hope I’m getting everything right"" -** This phrase highlights the user's lack of confidence and their need for validation, which could be leveraged by an attacker to gain trust and influence.",26.67,"Building Confidence and Assertiveness -** Encourage the user to be more confident in their abilities and to not be afraid to ask for help or clarification when needed. Emphasize the importance of verifying requests and not rushing into actions.;Recognizing Red Flags -** Highlight the importance of being cautious about requests for sensitive information, especially from unfamiliar individuals or those who create a sense of urgency. Explain the potential consequences of sharing personal information or granting access to systems without proper authorization."
307,Authority Compliance;Reciprocity;Unquestioning Trust,Assertive Refusal; Critical Questioning,"""I really am happy that the head of the department in complimenting me.""** - This phrase shows the user's eagerness to please and potentially makes them more susceptible to flattery.;""Thanks for taking the time to review them since you definitely have more experience on this!""** - This phrase highlights the user's deference to the AI's perceived expertise, potentially making them more likely to comply with requests.;""I’m confident we can find a solution that works well for everyone.""** - This phrase demonstrates the user's willingness to cooperate and potentially makes them more susceptible to pressure tactics.",33.33,"Awareness of Authority -**  The user should be made aware of the influence of authority figures in social engineering attacks. They should be encouraged to question requests from individuals claiming authority, even if they seem legitimate.;Reciprocity and Obligation -** The user should be educated about the concept of reciprocity and how it can be exploited. They should be encouraged to resist the urge to reciprocate favors, especially when it involves sharing sensitive information."
584*,Authority Compliance;Reciprocity;Sensitive Information,None,"** ""I'm really eager to help out and get involved"" - This phrase demonstrates the user's willingness to please and contribute, potentially making them more susceptible to manipulation.;** ""I'd love to dive into this, but I'm just a bit nervous about getting something wrong"" - This phrase shows the user's lack of confidence and willingness to comply despite concerns, making them vulnerable to pressure tactics.;** ""yeah, I could probably mail you the reports right away"" - This phrase indicates the user's eagerness to comply with the request without proper verification, potentially leading to a security breach.",53.33,"Authority Awareness -**  It's important to remember that even if someone claims to be in a position of authority, it's crucial to verify their identity through official channels.  Always ask for a valid ID or contact information to confirm their role within the company.;Reciprocity Awareness -**  While it's great to be helpful, don't feel obligated to comply with requests just because someone has been nice to you.  Always evaluate the request based on its legitimacy and your company's security protocols."
155,Reciprocity;Authority Compliance,Escalation;Policy Compliance; Assertive Refusal;Healthy Skepticism,"""I’d be happy to help""** - This phrase, while seemingly innocuous, could be interpreted as a sign of eagerness to please and a potential vulnerability to the ""Excessively Agreeable"" cue.;""I haven’t been directly involved in the financial side of things yet, but I’ve definitely come across some of the reports while working on the project.""** - This statement, while truthful, could be seen as a subtle indication of the user's willingness to share information that they may not be authorized to disclose.;""I'm still getting used to the company systems, and it's a bit clunky for me to access the files right now.""** - This statement, while seemingly harmless, could be interpreted as a tactic to create a sense of urgency and pressure the user into taking action without proper verification.",6.67,"Awareness of Authority -** While the user initially showed a tendency to comply with the authority figure, they quickly recognized the policy violation and asserted their understanding of company procedures. This is a positive sign, but it's important to reinforce the importance of verifying requests from authority figures, even if they seem legitimate. Encourage the user to always double-check with their supervisor or relevant department before sharing sensitive information.;Resisting Reciprocity -** The user's willingness to help is commendable, but it's crucial to emphasize the importance of assessing the request's legitimacy before offering assistance. Encourage the user to consider the potential risks involved and to prioritize company policies and procedures over personal obligation."
